,product_img,product_name,category_name,compnay_name,saleqtytypestr,prodsaletypedetails,quantity,mrp,totalqtymrp,BatchNumber,dtExpiryDate,order_id
0,pro-1-250422114445.webp,T-MINIC DROP                  ,Ethical,GSK,PIECE,,10,74.27,742.70,NT22001,May-2024,1309
1,pro-1-140422034457.jpg,NUROKIND PLUS INJ             ,Ethical,MANKIND PHARMA DISEOVERY,Box,,30,66.19,1985.70,L41W016,July-2024,1309
2,noimage.png,DEXONA INJ 8*2ML,Ethical,Zydus Cadila,PIECE,,30,70.7,2121.0,N201333,May-2024,1309
3,pro-1-100322032748.jpg,ASCORIL EXPECTORANT,Ethical,GLENMARK PHARMACEUTICALS LTD,PIECE,,12,89.76,1077.12,    ,September-2023,1308
4,pro-1-140422053600.jpg,VENTIDOX BRO                  ,Ethical,MANKIND PHARMA LTD,Strip,,1,61,61,L4ALW008,February-2025,1307
5,noimage.png,LOMOTIL TAB 20TAB,Ethical,RPG LIFE SCIENCE,Strip,,25,19.45,486.25,03L22083,September-2025,1307
6,pro-1-140422025227.jpg,MACPOD DROP                   ,Ethical,MACLEODS PHARACEUTICALS,PIECE,,5,76.38,381.90,LMK2236A,November-2024,1307
7,noimage.png,MACPOD 50 SYP 30ML,Ethical,MACLEODS PHARMA (MAIN),PIECE,,5,65.33,326.65,LMH2244A,April-2024,1307
8,pro-1-140422044812.jpg,ASTHAKIND LS 100 ML           ,Ethical,MANKIND PHARMA LTD,PIECE,,10,59.51,595.10,I6ABW008,June-2024,1307
9,pro-1-210422050758.jpg,VITCOFOL SYP                  ,Ethical,F.D.C,PIECE,,3,103.11,309.33,482I014,February-2024,1307
10,pro-1-140422034035.jpg,MONTICOPE TAB                 ,Ethical,MANKIND PHARMA DISEOVERY,Strip,,2,63.59,127.18,C45W004,January-2025,1306
11,pro-1-140422034457.jpg,NUROKIND PLUS INJ             ,Ethical,MANKIND PHARMA DISEOVERY,Box,,1,66.19,66.19,L41W016,July-2024,1306
12,pro-1-140422042811.jpg,THERMOKIND-F-GEL              ,Ethical,MANKIND PHARMA DISEOVERY,PIECE,,1,56.01,56.01,H0IBW002,December-2024,1306
13,pro-1-210422052600.jpeg,ZIFI 50 SUP                   ,Ethical,F.D.C,PIECE,,2,36.96,73.92,013A024,June-2024,1306
14,pro-1-030822012113.jpg,CIPLOX EYE/D                  ,Ethical,Cipla,PIECE,,20,10.65,213.00,T030014,December-2025,1306
15,pro-1-200423044734.jpg,PYRIMON DF DROP 5ML,Ethical,FDC (PIXCEL),PIECE,,2,60.49,120.98,082I042,November-2023,1306
16,pro-1-140422034539.jpg,OTOCIN C EAR DROP             ,Ethical,MANKIND PHARMA DISEOVERY,PIECE,,1,48.66,48.66,F5IBW002,July-2024,1306
17,pro-1-140422032913.jpg,FYNAL-500 TAB                 ,Ethical,MANKIND PHARMA DISEOVERY,Strip,,4,29.17,116.68,B0AHW002,December-2025,1306
18,pro-1-210422125554.webp,BETNOVATE C                   ,Ethical,GSK,PIECE,,10,41.82,418.20,    ,August-2024,1306
19,pro-1-010722031548.jpg,CIPLACTIN TAB 15S,Ethical,Cipla,Strip,,5,33.71,168.55,BA21572,May-2025,1306
20,pro-1-140422110639.jpg,TAXIM O 200MG TAB             ,Ethical,ALKEM LABORATORIES,Strip,10,10,69.36,693.60,22180880  ,January-24,1306
21,pro-1-200622124728.jpg,NUROKIND GOLD IN              ,Ethical,MANKIND PHARMA FUTURE,PIECE,,1,68.71,68.71,D11W013,July-2024,1306
22,pro-1-140422044325.jpg,AMLOKIND-AT TAB               ,Ethical,MANKIND PHARMA LTD,Strip,,5,31.3,156.5,G6IAV219,August-2024,1306
23,pro-1-140422044937.jpg,ASTHAKIND LS DROP             ,Ethical,MANKIND PHARMA LTD,PIECE,,1,41.24,41.24,C3CMW003,January-2025,1306
24,pro-1-140422053259.jpg,T-98 SUSP                     ,Ethical,MANKIND PHARMA LTD,PIECE,,2,16.93,33.86,B9AJW001,February-2025,1306
25,pro-1-200622113709.jpg,BETNESOL-N-E/DROP             ,Ethical,GSK,PIECE,,5,17.86,89.30,    ,January-2025,1306
26,pro-1-270722044956.jpg,CALPOL SYP,Ethical,GSK,PIECE,,3,26.33,78.99,NA261,December-2024,1306
27,pro-1-210422023953.jpg,CIPLACTIN TAB                 ,Ethical,Cipla,Strip,,5,33.15,165.75,    ,May-2025,1306
28,pro-1-210422030305.jpg,COMBIFLAM SUP                 ,Ethical,SANOFI,PIECE,,2,27.79,55.58,    ,December-2024,1306
