,product_img,product_name,category_name,compnay_name,saleqtytypestr,prodsaletypedetails,quantity,mrp,totalqtymrp,BatchNumber,dtExpiryDate,order_id
0,pro-1-100322041058.jpg,ALLEGRA M,Ethical,Cipla,Pack,kklkllk,4,505,2020,iooopp,January-2023,784
1,pro-1-300722020141.jpg,BECOSULES CAP,Ethical,Cipla,Pack,gui,1,81.6,81.6,rtyuy,June-2024,784
2,pro-1-300722020424.jpg,BECOZINC CAP,Ethical,Dr.Reddy,Pack,zxasd,1,35.71,35.71,zz77,-2027,783
3,pro-1-100322041058.jpg,ALLEGRA M,Ethical,Cipla,Pack,kklkllk,5,510,2550,iooopp,January-2023,783
4,pro-1-100322040329.jpg,BESTOGESIC KID TAB,Ethical,Dr.Reddy,Pack,sd,5,33.66,168.30,sda,December-2022,782
5,pro-1-300722021515.jpg,BESTOFLOX 200,Ethical,Stiefel,Pack,2,2,200.94,401.88,fsdfsd,November-2022,782
6,pro-1-300722015958.jpg,BECADEXAMIN CAP,Ethical,Dr.Reddy,Pack,1,1,25.5,25.5,ff79,-2029,781
7,pro-1-290722102537.jpg,SERTRALINE ,Ethical,Sanofi,Pack,3,1,91.8,91.8,pp90,-2032,781
8,pro-1-300722015752.jfif,B.N.C CREAM  ,Ethical,gsk,Pack,sadsad,2,225.42,450.84,sadasd,December-2022,781
9,pro-1-100322041058.jpg,ALLEGRA M,Ethical,Cipla,Pack,1*10,1,51,51,1221,July-2022,780
10,pro-1-100322040308.jpg,BESTOGESIC OIL,Ethical,Cipla,Pack,1,1,30.6,30.6,ll74,-2024,780
11,pro-1-300722020141.jpg,BECOSULES CAP,Ethical,Cipla,Pack,gui,1,81.6,81.6,rtyuy,June-2024,780
12,pro-1-300722020424.jpg,BECOZINC CAP,Ethical,Dr.Reddy,Pack,zxasd,1,35.71,35.71,zz77,-2027,780
13,pro-1-300722021515.jpg,BESTOFLOX 200,Ethical,Stiefel,Pack,2,2,200.94,401.88,fsdfsd,November-2022,780
14,pro-1-300722021515.jpg,BESTOFLOX 200,Ethical,Stiefel,Pack,2,2,200.94,401.88,fsdfsd,November-2022,779
15,pro-1-100322041058.jpg,ALLEGRA M,Ethical,Cipla,Pack,1*10,1,51,51,1221,July-2022,779
16,pro-1-100322040308.jpg,BESTOGESIC OIL,Ethical,Cipla,Pack,1,1,30.6,30.6,ll74,-2024,779
17,pro-1-100322040329.jpg,BESTOGESIC KID TAB,Ethical,Dr.Reddy,Pack,sd,1,33.66,33.66,sda,December-2022,779
18,pro-1-300722020631.jpg,BENADRYL SYP 50ML,Ethical,gsk,Pack,2,1,71.41,71.41,yy76,-2026,779
19,pro-1-100322041058.jpg,ALLEGRA M,Ethical,Cipla,Pack,1*10,15,51,765,1221,July-2022,778
20,pro-1-291122122211.png,Prolonged,Ayurvedic,Ayurveda  ,Pack,hyikol,3,2310,6930,hujj,February-2025,777
21,pro-1-300722010127.jpg,AVIL 2 ML,Ethical,Dr.Reddy,Pack,gh,15,1836,27540,kpl,March-2025,776
22,pro-1-300722020141.jpg,BECOSULES CAP,Ethical,Cipla,Pack,gui,5,81.6,408.0,rtyuy,June-2024,775
23,pro-1-300722020141.jpg,BECOSULES CAP,Ethical,Cipla,Pack,gui,4,81.6,326.4,rtyuy,June-2024,774
24,pro-1-291122113903.png,Aspirin ,Generic,healthcare,Pack,jkklp;,5,2813.2,14066.0,fyiuou,March-2025,774
25,pro-1-300722010127.jpg,AVIL 2 ML,Ethical,Dr.Reddy,Pack,gh,2,1836,3672,kpl,March-2025,774
26,pro-1-100322041058.jpg,ALLEGRA M,Ethical,Cipla,Pack,1*12,6,91.8,550.8,dsfgdsgsdg,March-2025,773
27,pro-1-291122122515.png,Oral ,Ayurvedic,Ayurveda  ,Pack,,2,518.96,1037.92,78,April-2024,772
28,pro-1-291122114746.png,Paracetamol ,Generic,healthcare,Pack,,6,206.96,1241.76,52,April-2024,771
29,pro-1-300722015752.jfif,B.N.C CREAM  ,Ethical,gsk,Pack,sadsad,3,229.84,689.52,sadasd,December-2022,770
30,pro-1-291122120516.png,ciplox,Surgical,Surgical Pvt.Ltd.,Pack,,4,1038.96,4155.84,475/,August-2024,769
31,pro-1-291122120947.png,Dettol +,Surgical,Surgical Pvt.Ltd.,Pack,,5,924.56,4622.80,569,July-2024,768
32,pro-1-300722015958.jpg,BECADEXAMIN CAP,Ethical,Dr.Reddy,Pack,1,5,26,130,ff79,-2029,767
33,pro-1-291122120121.png,Needle,Surgical,Surgical Pvt.Ltd.,Pack,1*10,5,1456,7280,145875,February-2024,767
34,pro-1-300722015503.jpg,AVIL 50,Ethical,gsk,Pack,2,10,31.2,312.0,hh81,-2031,766
35,pro-1-100322040329.jpg,BESTOGESIC KID TAB,Ethical,Dr.Reddy,Pack,sd,5,34.32,171.60,sda,December-2022,765
36,pro-1-300722125602.jpg,AVIL 10ML  ,Ethical,Stiefel,Pack,2,5,57.2,286.0,cc82,-2032,764
37,pro-1-100322041058.jpg,ALLEGRA M,Ethical,Cipla,Pack,1*12,3,93.6,280.8,dsfgdsgsdgQQQQQ,March-2025,763
38,pro-1-100322040308.jpg,BESTOGESIC OIL,Ethical,Cipla,Pack,1,2,31.2,62.4,ll74AAAA,-2024,763
39,pro-1-300722121735.jpg,ASTHALIN INH,Ethical,Dr.Reddy,Pack,dsfdsf,1,1,1,sdasdasd,November-2022,762
40,pro-1-300722125602.jpg,AVIL 10ML  ,Ethical,Stiefel,Pack,2,1,55,55,cc82,-2032,761
41,pro-1-300722125602.jpg,AVIL 10ML  ,Ethical,Stiefel,Pack,2,5,55,275,cc82,-2032,760
42,pro-1-300722121735.jpg,ASTHALIN INH,Ethical,Dr.Reddy,Pack,dsfdsf,1,1,1,sdasdasd,November-2022,760
43,pro-1-300722111411.jpg,LIFEBUOY ,Ethical,FDC Limited,Pack,2,1,30,30,zz22,September-2022,760
44,pro-1-291122120516.png,ciplox,Surgical,Surgical Pvt.Ltd.,Pack,,59,999,58941,475/,August-2024,760
45,pro-1-100322041058.jpg,ALLEGRA M,Ethical,Cipla,Strip,sdsdfsdf,2,134,268,sdfsdf,November-2022,759
46,pro-1-100322040308.jpg,BESTOGESIC OIL,Ethical,Cipla,PIECE,1,1,30,30,ll74,-2024,759
47,pro-1-300722125602.jpg,AVIL 10ML  ,Ethical,Stiefel,PIECE,2,8,55,440,cc82,-2032,759
48,pro-1-280722043223.jpg,CIPLOX 500 TAB,Ethical,Cipla,Strip,1,4,15,60,ee45,-2026,759
49,pro-1-291122121722.png,Metformin ,Ayurvedic,Ayurveda  ,Cartoon,,3,420,1260,7575,July-2024,758
50,pro-1-291122122428.png,Suspension ,Ayurvedic,Ayurveda  ,Tube,,3,525,1575,242,December-2022,758
51,pro-1-291122122857.png,Doxycycline ,Ayurvedic,Ayurveda  ,Cartoon,,3,750,2250,245,December-2022,758
52,pro-1-291122120121.png,Needle,Surgical,Surgical Pvt.Ltd.,Pack,1*10,3,1470,4410,145875,February-2024,757
53,pro-1-291122120947.png,Dettol +,Surgical,Surgical Pvt.Ltd.,Pack,2,3,336,1008,5868,January-2024,757
54,pro-1-291122021232.png,PLASTIC TWEEZERS,Surgical,Surgical Pvt.Ltd.,Pack,,3,550,1650,42,December-2022,757
55,pro-1-100322041058.jpg,ALLEGRA M,Ethical,Cipla,Strip,sdsdfsdf,1,140.7,140.7,sdfsdf,November-2022,756
56,pro-1-100322041058.jpg,ALLEGRA M,Ethical,Cipla,Strip,1,4,630,2520,897,April-2023,755
57,pro-1-300722020424.jpg,BECOZINC CAP,Ethical,Dr.Reddy,Strip,zxasd,4,36.75,147.00,zz77,-2027,755
58,pro-1-300722015752.jfif,B.N.C CREAM  ,Ethical,gsk,PIECE,sadsad,5,221,1105,sadasd,December-2022,755
59,pro-1-100322041058.jpg,ALLEGRA M,Ethical,Cipla,Strip,sdsdfsdf,1,140.7,140.7,sdfsdf,November-2022,754
